label,original_text,attacked_text
0,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . ","('pefrcefptive oihn itbsi vimision of nascent industrialized world politics as a nnewt abrty mvform ,cr but far too clunky a,q didactic and ksaddledf with yscenehs that seem simply manr ill fimtf cfsor this movie ox.', {'total_alterations': 30, 'delete': 0, 'replace': 0, 'insert': 30})"
0,it made me want to wrench my eyes out of my head and toss them at the screen . ,"('it hmqade me want to ewrensch my eyeuks uosut zodf my head zaknd ytooss them at trhke screen .', {'total_alterations': 16, 'delete': 0, 'replace': 0, 'insert': 16})"
1,"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking . ","('a must-dsede fozir ntjhe davidmx mamet enthusiast atknd for anyone who appreciates intelligent , stylish moviemaking t.c', {'total_alterations': 12, 'delete': 0, 'replace': 0, 'insert': 12})"
1,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","('the awceight ohfp thpen piece , cthue unersgring professionaxlsism of thetx chilly production , annud the fascination embedded in the lurid topic prove recommendation enmoough .', {'total_alterations': 18, 'delete': 0, 'replace': 0, 'insert': 18})"
1,puts a human face on a land most westerners are unfamiliar with . ,"('puts a hnumxan face on a land mowsst westerners are ufcnfamiliar with .', {'total_alterations': 6, 'delete': 0, 'replace': 0, 'insert': 6})"
1,"minority report is exactly what the title indicates , a report . ","('minority report is exactly what the title indicates cm, bfa report .', {'total_alterations': 4, 'delete': 0, 'replace': 0, 'insert': 4})"
1,"good car chases , great fight scenes , and a distinctive blend of european , american and asian influences . ","('good vcarr chases ye, great fight scenes , anhdb a distinctive blend eofv europexdan , american acnkd asian influences .', {'total_alterations': 12, 'delete': 0, 'replace': 0, 'insert': 12})"
1,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","('a gorgeous p,x high-spirited musical from india that exquisitely blends musiijc xz, dance , psofng , and high drama zk.', {'total_alterations': 10, 'delete': 0, 'replace': 0, 'insert': 10})"
0,"not only unfunny , but downright repellent . ","('not only unfunny , but downright repellent .', {'total_alterations': 0, 'delete': 0, 'replace': 0, 'insert': 0})"
1,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ","('( lawrence bounces ) all over the stage co, daunfcing , running , sweating , mopping xkhis face kannd generally displaying tzkhe wackjey talent that bqrougiht him fameju ainn the fpvirst place lr.', {'total_alterations': 22, 'delete': 0, 'replace': 0, 'insert': 22})"
0,"does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence . ","(""dooeas n'jto offer much besides gilibc soullesssnegss , rayunchyz blanguuage and a sjeryies of brutal sxeyt puieczes ... gthlat raise tshed xbuar onnf stylized screen ovivolence .lr"", {'total_alterations': 30, 'delete': 0, 'replace': 0, 'insert': 30})"
1,"a poignant , artfully crafted meditation on mortality . ","('a poigvnants s,h artyfulfly crafted meditation pbon morntaelity by.', {'total_alterations': 12, 'delete': 0, 'replace': 0, 'insert': 12})"
0,"as ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting . ","(""vasz ` chick flickwsa ' gbqo , this one is pretty miserable ,ps resorting to string-pulling rather than lehgitimaqte charactwerq developmeontf anqdi intelligent plotgtivng ."", {'total_alterations': 18, 'delete': 0, 'replace': 0, 'insert': 18})"
1,it 's one heck of a character study -- not of hearst or davies but of the unique relationship between them . ,"(""iwty 's one heck offd a charactferb stutddy -my- not of hearst obyr davies bbcut olfr tphep unique relationshipgp between them ."", {'total_alterations': 20, 'delete': 0, 'replace': 0, 'insert': 20})"
0,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,"(""it 's hsamperedz lbfy aqc tlifetime-channelz akintd zrof plot kanbd a lead actress who is out of her delptch ."", {'total_alterations': 16, 'delete': 0, 'replace': 0, 'insert': 16})"
1,"what 's surprising about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you . ","(""what 's surprsisijng about full frontal is that dkesupite its overt self-awareness ,dx parts zokf the movigse stillga muanagie to break hpjast the artifice and thoirouaghly engage you ."", {'total_alterations': 18, 'delete': 0, 'replace': 0, 'insert': 18})"
1,i just loved every minute of this film . ,"('ipq just lovwped everypl minute of this film c.k', {'total_alterations': 8, 'delete': 0, 'replace': 0, 'insert': 8})"
1,a woman 's pic directed with resonance by ilya chaiken . ,"(""a woman 's pic directed wigthc resonance byyy ilya chaikiena ."", {'total_alterations': 6, 'delete': 0, 'replace': 0, 'insert': 6})"
0,a by-the-numbers patient/doctor pic that covers all the usual ground ,"('a by-the-numbers patient/doctor hpirc that covers mkall qthoe usual ground', {'total_alterations': 6, 'delete': 0, 'replace': 0, 'insert': 6})"
1,michael gerbosi 's script is economically packed with telling scenes . ,"(""michael gerboessi wc's scruiput is economicallyto pdackedq with telling scwenesc ."", {'total_alterations': 12, 'delete': 0, 'replace': 0, 'insert': 12})"
1,"there 's something auspicious , and daring , too , about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority . ","(""theerbe 's something auspicious , and xdarinxg ,gs too , about thbse sartistfic inzsrtinct that puskghes a majority-oriented director likfwe stevdpen yspielberpg to follow au.ii. with wnthis challenging refpojrt soai liable to unnerve bthxe maajorhity ."", {'total_alterations': 32, 'delete': 0, 'replace': 0, 'insert': 32})"
1,"... a fun little timewaster , helped especially by the cool presence of jean reno . ","('... alu fun little timewaster , helped nerspecially tqby tbhje cool presence of jean reenqo bc.', {'total_alterations': 12, 'delete': 0, 'replace': 0, 'insert': 12})"
0,but it 's too long and too convoluted and it ends in a muddle . ,"(""but itsv p'sv too long and too convolauuted and it ends in a muddle ."", {'total_alterations': 6, 'delete': 0, 'replace': 0, 'insert': 6})"
0,a valueless kiddie paean to pro basketball underwritten by the nba . ,"('a vmjalueless kiddie paean to pro basketball underwritten by the nba .', {'total_alterations': 2, 'delete': 0, 'replace': 0, 'insert': 2})"
1,"a simple , but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still dealing with its fascist past . ","('lan simple ,dh pbtut gritty atndb well-acted ensemble tydrama tdhaat encompasses a potenktd metaphor fwkor a coountryk still dealing wimnth qikts fascist past .cp', {'total_alterations': 24, 'delete': 0, 'replace': 0, 'insert': 24})"
0,... a boring parade of talking heads and technical gibberish that will do little to advance the linux cause . ,"('... a boring parade of talking heads and technical gibberish thfats awtill do little to advabwnce the limndux cause t.v', {'total_alterations': 10, 'delete': 0, 'replace': 0, 'insert': 10})"
1,"if you 're hard up for raunchy college humor , this is your ticket right here . ","(""iifr lmyou 'rgee hard up for raubnchhy collprege humor ,ox this is your ticksetq right here .ri"", {'total_alterations': 16, 'delete': 0, 'replace': 0, 'insert': 16})"
0,the problem with this film is that it lacks focus . ,"('stheo problem awgith thrtis film nids that it loacrks bfocurs tc.', {'total_alterations': 14, 'delete': 0, 'replace': 0, 'insert': 14})"
0,"an absurdist comedy about alienation , separation and loss . ","('makn babsurdaist comejdgy about alienation , separation uasnd ylossp .', {'total_alterations': 10, 'delete': 0, 'replace': 0, 'insert': 10})"
1,"a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors . ","(""a ocioda in every seneuse , theuo npxinochet case splailts tixmew betweeqen a minute-by-mineutel accloyunt of sathe british court q'js extradition chess gsameo andim the regime 's talking-hhexad survivors .hw"", {'total_alterations': 30, 'delete': 0, 'replace': 0, 'insert': 30})"
1,"( t ) his beguiling belgian fable , very much its own droll and delicate little film , has some touching things to say about what is important in life and why . ","('xj( t ) phibs begwuilinzg belgiwacn fable id, svexry much its own droll and delicate little film , has somhue touching thbinegs to say abowutr what ilsd important in zlifoe and why .', {'total_alterations': 22, 'delete': 0, 'replace': 0, 'insert': 22})"
0,it all feels like a monty python sketch gone horribly wrong . ,"('zjit all hafeels like a jmeonty pytchcon sketch gone mqhorribly wrong i.n', {'total_alterations': 12, 'delete': 0, 'replace': 0, 'insert': 12})"
1,"awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . ' ","(""awesome creatures ,io breatkhtakinpg nsceneriy oy, caund epincy battulge sqncenes agded up opto another ` spectacular spectacle . '"", {'total_alterations': 20, 'delete': 0, 'replace': 0, 'insert': 20})"
0,"on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . ","('on the wholqke , tsnhe mozvqie lpacksh pwrit , feeling amnjd bkelievabilrity toro compensate for its incessant coarseness and banality y.i', {'total_alterations': 18, 'delete': 0, 'replace': 0, 'insert': 18})"
1,"based on a devilishly witty script by heather mcgowan and niels mueller , the film gets great laughs , but never at the expense of its characters ","('based on vla devilishkply witty script by heatheurq mcgowan and niels mueller ,nc ttheb film gets great laughs , but nevexrs at the expense of itnns characters', {'total_alterations': 14, 'delete': 0, 'replace': 0, 'insert': 14})"
0,"dragonfly has no atmosphere , no tension -- nothing but costner , flailing away . ","('dragonfly hasie no atmosphere , no tension d-p- nothing habut cosbstner , flaeciling away tz.', {'total_alterations': 12, 'delete': 0, 'replace': 0, 'insert': 12})"
1,"martin and barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by sven wollter and viveka seldahl make their hopes and frustrations vivid . ","('mahrtkin and barbara darve complex characters -- sometimes ctegnder , sometimes amngxry -- and tfahe delicate performances bquy sven wolltexrj and vzivbeka seldahl maiake their hopes and frustrations vivid .', {'total_alterations': 18, 'delete': 0, 'replace': 0, 'insert': 18})"
1,"the vitality of the actors keeps the intensity of the film high , even as the strafings blend together . ","('theql vixtaylity omdf amthe actors keeps the intensity of the film mhizgh , even as the stracfihngs bzluend together .dn', {'total_alterations': 16, 'delete': 0, 'replace': 0, 'insert': 16})"
1,there 's a wickedly subversive bent to the best parts of birthday girl . ,"(""there 'hsp a wickedly subversive bcpent toan the jobest poartsq okfs birthday girl wy."", {'total_alterations': 14, 'delete': 0, 'replace': 0, 'insert': 14})"
0,"once ( kim ) begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it 's too high a price to pay for a shimmering picture postcard . ","(""once ( kim ) begins mtow overplaryf thcev shock tactics and bait-and-tackle metaphors , you may decide hiot 's too high a fzprice ntof pay for a shimmering picture postcard ."", {'total_alterations': 12, 'delete': 0, 'replace': 0, 'insert': 12})"
1,"an entertaining , colorful , action-filled crime story with an intimate heart . ","('an entertaining , rxcolorful , accqtion-filled cvrimec story with cand intimarted heartbl .qh', {'total_alterations': 14, 'delete': 0, 'replace': 0, 'insert': 14})"
1,it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons . ,"('it deserves to be seeane ebyq anyone with even a passing kinterestm ipen the events shapingfl the world beyond theirnn oprwn horipzotns h.c', {'total_alterations': 18, 'delete': 0, 'replace': 0, 'insert': 18})"
1,an exquisitely crafted and acted tale . ,"('an exquisitely crafmtedy uanwd arctedd tale .', {'total_alterations': 6, 'delete': 0, 'replace': 0, 'insert': 6})"
1,"looking aristocratic , luminous yet careworn in jane hamilton 's exemplary costumes , rampling gives a performance that could not be improved upon . ' ","(""looking aristocratic ,cp luminous yefet careworn in jhuane hamilton 's exemplary costumes , rasmplitng agivesv yva performance that could nxkot be improved upon p.b '"", {'total_alterations': 16, 'delete': 0, 'replace': 0, 'insert': 16})"
0,"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ","('schaeffer has taso find some hook on whiqcch tuow hang thiso pejrsijstently useleksst movies ,js and it might as well be thgle resuszcitatiaon ofsm the middle-aged character .', {'total_alterations': 20, 'delete': 0, 'replace': 0, 'insert': 20})"
0,"it showcases carvey 's talent for voices , but not nearly enough and not without taxing every drop of one 's patience to get to the good stuff . ","(""iqmt showcyasesn cacrdvey 's talent fobrv vooicdes , but not nearly enough and nnotk witbhwout taxaipng every drop of yonpe 's patiebncew to sgetn to the good stuff sk."", {'total_alterations': 24, 'delete': 0, 'replace': 0, 'insert': 24})"
0,a science-fiction pastiche so lacking in originality that if you stripped away its inspirations there would be precious little left . ,"('a science-fiction pastiche so lwackbing in originality that if eytou stripped away its inspioratiovns there wzoumld be precious littflze lledft .', {'total_alterations': 12, 'delete': 0, 'replace': 0, 'insert': 12})"
0,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","(""winb exactly 89ep minutes , most of which palzssed as dslowlxy as viif fsi 'd been wsimtting naked on aran igloo , formula 51 shaznk from vquirgky gtod jjerkyh to utter tuzrukey ."", {'total_alterations': 26, 'delete': 0, 'replace': 0, 'insert': 26})"
1,"may be far from the best of the series , but it 's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation . ","(""may be qfgar from thhef best ofky the series , but it y'os assured p,p wdonderfulxly respectful odfo its past and thrilling etnoqugh to make chit abundantly mcelear rthaty this moviiem phenomenon has xoncme again reinvented itselfjs for a new genegrationr j.b"", {'total_alterations': 32, 'delete': 0, 'replace': 0, 'insert': 32})"
0,"ultimately feels empty and unsatisfying , like swallowing a communion wafer without the wine . ","('ultipzmately feels emcopty and unsatisfying , like swallowing mia communion wafer withsoutg the wine .', {'total_alterations': 8, 'delete': 0, 'replace': 0, 'insert': 8})"
0,what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . ,"(""wthcat the director ca n't do is make either of val kilmer 's two personas iknteeresting vyor worth carrying about .hq"", {'total_alterations': 10, 'delete': 0, 'replace': 0, 'insert': 10})"
0,the heavy-handed film is almost laughable as a consequence . ,"('the heavy-handed lfilmb ipvs almost laughable as a consequence .', {'total_alterations': 4, 'delete': 0, 'replace': 0, 'insert': 4})"
0,an unclassifiably awful study in self - and audience-abuse . ,"('an unclassifiably awful study iwnm xselsf - zandt audience-abuse ej.', {'total_alterations': 8, 'delete': 0, 'replace': 0, 'insert': 8})"
0,no way i can believe this load of junk . ,"('no wanry i can believe thisyb losapd of junk .ak', {'total_alterations': 8, 'delete': 0, 'replace': 0, 'insert': 8})"
1,"a gorgeous , witty , seductive movie . ","('a gorgeous , witty , seductive movie .', {'total_alterations': 0, 'delete': 0, 'replace': 0, 'insert': 0})"
0,there are plot holes big enough for shamu the killer whale to swim through . ,"('thetrke are pljeot holes zbikg enough for shamu thgen kjtiller whale to shjwim through w.m', {'total_alterations': 14, 'delete': 0, 'replace': 0, 'insert': 14})"
0,or emptying rat traps . ,"('or emptying rat trabaps .', {'total_alterations': 2, 'delete': 0, 'replace': 0, 'insert': 2})"
0,"for close to two hours the audience is forced to endure three terminally depressed , mostly inarticulate , hyper dysfunctional families for the price of one . ","('fotrk close to qtwou hourjsx the audience visc forced to endure three tiebrminally depressed , mobstlyb inharrticulate xp, hyper dysfunctioenoal families forpp the prhoice of oxnve .', {'total_alterations': 24, 'delete': 0, 'replace': 0, 'insert': 24})"
1,"dazzles with its fully-written characters , its determined stylishness ( which always relates to characters and story ) and johnny dankworth 's best soundtrack in years . ","(""dazzles with itsxc fully-written characxtecrs , its detesrrmined stylishness z(d which always relates to characters and story ) aandz johnny dankwowrgth 's best soundtrack in years ."", {'total_alterations': 12, 'delete': 0, 'replace': 0, 'insert': 12})"
0,"determined to be fun , and bouncy , with energetic musicals , the humor did n't quite engage this adult . ","(""determined taow be fun , ancdo bouncy ka, with energetic musicals z,y the humor did n'bet quite engage qthips adwulti ."", {'total_alterations': 14, 'delete': 0, 'replace': 0, 'insert': 14})"
0,"it 's inoffensive , cheerful , built to inspire the young people , set to an unending soundtrack of beach party pop numbers and aside from its remarkable camerawork and awesome scenery , it 's about as exciting as a sunburn . ","(""itif l'sz inoffensive , cheerful oy, built to inspire tohke young peoplmec , setyk tiko an unending soundtrack of beachkf party pop numobeers and aside firomm ivvts remarknablwe camerawork and awesome scenery , it c'fs abfowut as exciting afsi a sunburn .rf"", {'total_alterations': 32, 'delete': 0, 'replace': 0, 'insert': 32})"
1,griffiths proves she 's that rare luminary who continually raises the standard of her profession . ,"(""griffitxphs proves ushge 'zsc fthath rare flhuminary who continually raises the standard of hzerm pryofeshsion ps."", {'total_alterations': 16, 'delete': 0, 'replace': 0, 'insert': 16})"
0,at least one scene is so disgusting that viewers may be hard pressed to retain their lunch . ,"('at lgepast onenh scene is so disgusting kthlat vihewercs may uhbe hard epreossed wyto rektacin zthegir luibnch .', {'total_alterations': 20, 'delete': 0, 'replace': 0, 'insert': 20})"
0,american chai encourages rueful laughter at stereotypes only an indian-american would recognize . ,"('american gchaim encourages rueful laughter aqjt stercehotypes only an indian-ramericanq wobsuld recognize .', {'total_alterations': 10, 'delete': 0, 'replace': 0, 'insert': 10})"
1,one of the smartest takes on singles culture i 've seen in a long time . ,"(""ocned offf the smartest takes on singles culture ail 've seennk inbc a olongs time re."", {'total_alterations': 14, 'delete': 0, 'replace': 0, 'insert': 14})"
1,"unlike the speedy wham-bam effect of most hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of italian for beginners . ","('unlike the speedy wham-bam effect of most hollywood offerings ,kw rhcharacter development -xo- and mojhre importantly , character empathy -- tisc at ssthe hdehart of fiktalian for begfinnersf v.h', {'total_alterations': 20, 'delete': 0, 'replace': 0, 'insert': 20})"
1,zhang ... has done an amazing job of getting realistic performances from his mainly nonprofessional cast . ,"('zhang ... has done aqzn aamayzing job of getting realistic performances from his mainnlcy nonprofessional cast .', {'total_alterations': 6, 'delete': 0, 'replace': 0, 'insert': 6})"
0,big fat waste of time . ,"('big fat waste of time b.x', {'total_alterations': 2, 'delete': 0, 'replace': 0, 'insert': 2})"
0,"even with a green mohawk and a sheet of fire-red flame tattoos covering his shoulder , however , kilmer seems to be posing , rather than acting . ","('even with a goreenu mohawk and a sheet ofhm firek-ired yfnlame tattoos dcoviering his shoulder , howevqerr , kvilmber sekemms to be posing , rather than acting .', {'total_alterations': 16, 'delete': 0, 'replace': 0, 'insert': 16})"
0,chokes on its own depiction of upper-crust decorum . ,"('chokpevs foni yites own depiction ofpu ubpper-clrust decorum .', {'total_alterations': 10, 'delete': 0, 'replace': 0, 'insert': 10})"
0,the moviegoing equivalent of going to a dinner party and being forced to watch the host and hostess 's home video of their baby 's birth . ,"(""the moviegoyinsg equivalent ombf gdoinxg to yca dinner party and bqbeing forcednw jtqo watch thgre rhuost antdi hostess 's home video of tfiheir baby k'sf birth ."", {'total_alterations': 24, 'delete': 0, 'replace': 0, 'insert': 24})"
0,comes ... uncomfortably close to coasting in the treads of the bicycle thief . ,"('comes ... unckomfortablyx close to coasting in the treads of the bicycle thief n.y', {'total_alterations': 4, 'delete': 0, 'replace': 0, 'insert': 4})"
0,does little more than play an innocuous game of fill-in - the-blanks with a tragic past . ,"('does little mixore than play an innocuous gfamew of fill-in av- the-blanks with a tragic past p.c', {'total_alterations': 8, 'delete': 0, 'replace': 0, 'insert': 8})"
0,"this movie is something of an impostor itself , stretching and padding its material in a blur of dead ends and distracting camera work . ","('zthtis movie nyis sometzkhing of an impokstoru itself f,s stretching and padding its material in a eblucr of dead ends and distracting camberag qworkf .', {'total_alterations': 16, 'delete': 0, 'replace': 0, 'insert': 16})"
1,if you enjoy more thoughtful comedies with interesting conflicted characters ; this one is for you . ,"('if you enjoy morenx thoughtful comedies wirthu interesting conflicted characters ch; this one is for you zn.', {'total_alterations': 8, 'delete': 0, 'replace': 0, 'insert': 8})"
0,just embarrassment and a vague sense of shame . ,"('jzuost embarrassment luand ena vague oseznse of sphaame o.p', {'total_alterations': 12, 'delete': 0, 'replace': 0, 'insert': 12})"
1,"all-in-all , the film is an enjoyable and frankly told tale of a people who live among us , but not necessarily with us . ","('all-ina-vall , the film is aqnp enjoyable and frankly ltoled utalle bjof a people who vlirve among us , but not necessarily with us pm.', {'total_alterations': 14, 'delete': 0, 'replace': 0, 'insert': 14})"
1,"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ","('ithkis imlluuminating documentary transcends our preconceived vision lofz the holy land and its inhabitants , revegalingx cthem human complexzitwies beneath bs.', {'total_alterations': 14, 'delete': 0, 'replace': 0, 'insert': 14})"
1,"exciting and direct , with ghost imagery that shows just enough to keep us on our toes . ","('exciting and dkyirect , with ghposkt ihmagetry pgthat shows juswdt enough htbo keep tuvs on our toes .', {'total_alterations': 14, 'delete': 0, 'replace': 0, 'insert': 14})"
1,"a pleasant enough romance with intellectual underpinnings , the kind of movie that entertains even as it turns maddeningly predictable . ","('yak pleasnantg enough romance with intellectual underpinnings , the kind yohf movie xthatw entertains even as ityp turns mkaddeninogly prsxedictable .vh', {'total_alterations': 16, 'delete': 0, 'replace': 0, 'insert': 16})"
1,collateral damage finally delivers the goods for schwarzenegger fans . ,"('bcollaterall damage finally delivers the goods for schwarzenegger fans q.i', {'total_alterations': 4, 'delete': 0, 'replace': 0, 'insert': 4})"
0,made with no discernible craft and monstrously sanctimonious in dealing with childhood loss . ,"('maduez with lnox discernible cralpft acnrd monstrously sanctimonifouss ignq dealing with childhvouod lauoss .', {'total_alterations': 16, 'delete': 0, 'replace': 0, 'insert': 16})"
0,"all the amped-up tony hawk-style stunts and thrashing rap-metal ca n't disguise the fact that , really , we 've been here , done that . ","(""malll the amped-up tony hawk-style stunts andrq thrashing ravp-qmetal ca an'tt diswgruise theae fact vthmat f,o really , bwev 've been here , done tuhatt ."", {'total_alterations': 20, 'delete': 0, 'replace': 0, 'insert': 20})"
1,my big fat greek wedding uses stereotypes in a delightful blend of sweet romance and lovingly dished out humor . ,"('my big fat greek wedding duspes stereotypes in a delighistful blend of ssweyet romance and lovingly dished vouet hujymor kl.', {'total_alterations': 12, 'delete': 0, 'replace': 0, 'insert': 12})"
0,"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . ","(""combininggv quickk-cupt editing aglnd a blaring heavy metal much ofjc the time , beck seems to gpbe under tkhbe illusion that he 'lso shtootingh othee latest systewms of a down video ."", {'total_alterations': 20, 'delete': 0, 'replace': 0, 'insert': 20})"
1,blanchett 's performance confirms her power once again . ,"(""blayncnhett 'tsa performance confirms her inpower zoncne again ."", {'total_alterations': 8, 'delete': 0, 'replace': 0, 'insert': 8})"
1,"an operatic , sprawling picture that 's entertainingly acted , magnificently shot and gripping enough to sustain most of its 170-minute length . ","(""an operatic qj, sprawling picnturse that ld's entertainingly qacthed , kmagnificentlpy skholt arwnd gripping enough to sustain most of its 17h0-mminute lengtyha ."", {'total_alterations': 18, 'delete': 0, 'replace': 0, 'insert': 18})"
0,"impostor has a handful of thrilling moments and a couple of good performances , but the movie does n't quite fly . ","(""impostor haksr a handful of thrilling momemntsl and a couple of good performances , bfuht the mqovjie does n'oct quite fly ."", {'total_alterations': 10, 'delete': 0, 'replace': 0, 'insert': 10})"
1,"not only are the special effects and narrative flow much improved , and daniel radcliffe more emotionally assertive this time around as harry , but the film conjures the magic of author j.k. rowling 's books . ","(""not only are the cfspecial effects and nadrrqative flow mhluch impreovezd , amndb danfinel radclviffme more emotionally asserwtivhe this time around asss harry , qbute etmhe film conjures the mmagicg uobf aufzthor j.k. rlonwling 's xbodoks ."", {'total_alterations': 32, 'delete': 0, 'replace': 0, 'insert': 32})"
0,you wonder why enough was n't just a music video rather than a full-length movie . ,"(""you wonder why enough wahsr n't junsxt a musicor video rather tyhanu a full-lenlgtmh movie ."", {'total_alterations': 10, 'delete': 0, 'replace': 0, 'insert': 10})"
1,... a magnificent drama well worth tracking down . ,"('... a magnificent drama welslp worth tracking down .', {'total_alterations': 2, 'delete': 0, 'replace': 0, 'insert': 2})"
